# y+ ()       
# Time        	patch         	min           	max           	average       
1400          	airfoil-l1	4.041686e-02	1.030054e-01	9.100337e-02
1400          	wall-l1	1.623959e+01	1.706863e+01	1.667632e+01
1400          	airfoil-l2	3.669034e-02	8.655263e-02	6.701169e-02
1400          	wall-l2	1.707500e+01	2.224494e+01	1.910610e+01
1400          	wall-h2	1.740208e+01	2.298898e+01	1.956335e+01
1400          	airfoil-h2	3.642818e-02	8.817200e-02	6.706383e-02
1400          	wall-h1	1.654503e+01	1.739552e+01	1.699405e+01
1400          	airfoil-h1	3.270142e-02	1.024257e-01	9.154950e-02
1450          	airfoil-l1	4.040773e-02	1.030026e-01	9.099755e-02
1450          	wall-l1	1.623551e+01	1.706414e+01	1.667190e+01
1450          	airfoil-l2	3.660485e-02	8.653943e-02	6.695528e-02
1450          	wall-l2	1.707048e+01	2.223458e+01	1.909986e+01
1450          	wall-h2	1.741535e+01	2.301507e+01	1.958103e+01
1450          	airfoil-h2	3.634893e-02	8.816728e-02	6.701365e-02
1450          	wall-h1	1.655607e+01	1.740878e+01	1.700575e+01
1450          	airfoil-h1	3.271253e-02	1.024274e-01	9.155180e-02
1500          	airfoil-l1	4.039875e-02	1.030002e-01	9.099266e-02
1500          	wall-l1	1.623189e+01	1.705928e+01	1.666725e+01
1500          	airfoil-l2	3.652889e-02	8.652844e-02	6.690581e-02
1500          	wall-l2	1.706566e+01	2.222419e+01	1.909336e+01
1500          	wall-h2	1.742749e+01	2.304104e+01	1.959772e+01
1500          	airfoil-h2	3.627949e-02	8.816393e-02	6.697012e-02
1500          	wall-h1	1.656678e+01	1.742086e+01	1.701690e+01
1500          	airfoil-h1	3.272348e-02	1.024291e-01	9.155392e-02
1550          	airfoil-l1	4.038999e-02	1.029982e-01	9.098854e-02
1550          	wall-l1	1.622639e+01	1.705376e+01	1.666240e+01
1550          	airfoil-l2	3.646143e-02	8.651930e-02	6.686245e-02
1550          	wall-l2	1.706011e+01	2.221206e+01	1.908614e+01
1550          	wall-h2	1.743891e+01	2.306572e+01	1.961348e+01
1550          	airfoil-h2	3.621873e-02	8.816162e-02	6.693240e-02
1550          	wall-h1	1.657545e+01	1.743231e+01	1.702772e+01
1550          	airfoil-h1	3.273417e-02	1.024308e-01	9.155584e-02
1600          	airfoil-l1	4.038162e-02	1.029964e-01	9.098507e-02
1600          	wall-l1	1.622204e+01	1.704863e+01	1.665724e+01
1600          	airfoil-l2	3.640147e-02	8.651170e-02	6.682448e-02
1600          	wall-l2	1.705495e+01	2.219911e+01	1.907869e+01
1600          	wall-h2	1.745052e+01	2.308830e+01	1.962844e+01
1600          	airfoil-h2	3.616556e-02	8.816010e-02	6.689976e-02
1600          	wall-h1	1.658518e+01	1.744394e+01	1.703797e+01
1600          	airfoil-h1	3.274437e-02	1.024324e-01	9.155758e-02
1650          	airfoil-l1	4.037381e-02	1.029949e-01	9.098213e-02
1650          	wall-l1	1.621695e+01	1.704389e+01	1.665226e+01
1650          	airfoil-l2	3.634842e-02	8.650538e-02	6.679127e-02
1650          	wall-l2	1.705024e+01	2.218769e+01	1.907209e+01
